"Count of Vehicles by Make ,Body Type and Colour as at  30th June 2020",,,,
MAKE_DESC,BODY_TYPE_DESC,YEAR_OF_MANUFACTURE,COLOUR_DESC,TOTAL
A J STOCK,DOG TRAILER,2007,WHITE,2
A J STOCK,DOG TRAILER,2009,WHITE,3
A J STOCK,DOG TRAILER,2010,WHITE,1
A J STOCK,DOG TRAILER,2011,WHITE,3
A J STOCK,DOG TRAILER,2013,WHITE,1
A J STOCK,DOG TRAILER,2014,WHITE,4
A J STOCK,DOG TRAILER,2015,WHITE,2
A J STOCK,DOG TRAILER,2018,WHITE,4
A J STOCK,PIG TRAILER,2007,WHITE,2
A J STOCK,PIG TRAILER,2008,WHITE,3
A J STOCK,PIG TRAILER,2009,WHITE,1
A J STOCK,PIG TRAILER,2010,WHITE,1
A J STOCK,PIG TRAILER,2016,WHITE,1
A J STOCK,PIG TRAILER,2017,WHITE,1
A J STOCK,PIG TRAILER,2018,WHITE,1
A J STOCK,PIG TRAILER,2019,BLACK,1
A J STOCK,PIG TRAILER,2019,SILVER,1
A J STOCK,PIG TRAILER,2019,WHITE,1
A J STOCK,TRAILER,2010,SILVER,1
A J STOCK,TRAILER,2013,SILVER,1
A J STOCK,TRAILER,2013,WHITE,1
A J STOCK,TRAILER,2016,WHITE,3
A J STOCK,TRAILER,2017,WHITE,1
A P ENGINEERING,ANIMAL TRANSPORTER TRAILER,2007,WHITE,1
A P ENGINEERING,ANIMAL TRANSPORTER TRAILER,2018,SILVER,1
A P ENGINEERING,TRAILER,2005,GREEN,2
A P ENGINEERING,TRAILER,2006,SILVER,1
A P ENGINEERING,TRAILER,2007,GREY,2
A P ENGINEERING,TRAILER,2010,GREY,1
A P ENGINEERING,TRAILER,2012,WHITE,1
A1 TRUCK & CAR,BOAT TRAILER,2019,GREY,1
A1 TRUCK & CAR,BOAT TRAILER,2020,SILVER,1
A1 TRUCK & CAR,TRAILER,2017,BLACK,1
A1 TRUCK & CAR,TRAILER,2017,GREY,3
A1 TRUCK & CAR,TRAILER,2017,ORANGE,2
A1 TRUCK & CAR,TRAILER,2017,RED,1
A1 TRUCK & CAR,TRAILER,2018,GREEN,1
A1 TRUCK & CAR,TRAILER,2018,GREY,7
A1 TRUCK & CAR,TRAILER,2018,RED,1
A1 TRUCK & CAR,TRAILER,2018,WHITE,2
A1 TRUCK & CAR,TRAILER,2019,BLACK,1
A1 TRUCK & CAR,TRAILER,2019,BLUE,1
A1 TRUCK & CAR,TRAILER,2019,GREY,1
A1 TRUCK & CAR,TRAILER,2020,BLACK,1
A1 TRUCK & CAR,TRAILER,2020,BLUE,1
A1 TRUCK & CAR,TRAILER,2020,RED,2
ABBSTEEL,BOAT TRAILER,2009,SILVER,1
ABBSTEEL,TRAILER,1995,GREEN,1
ABBSTEEL,TRAILER,1996,BLUE,1
ABBSTEEL,TRAILER,1997,BLUE,1
ABBSTEEL,TRAILER,1997,GREY,1
ABBSTEEL,TRAILER,1998,BLUE,1
ABBSTEEL,TRAILER,1999,BLUE,1
ABBSTEEL,TRAILER,2000,BLUE,3
ABBSTEEL,TRAILER,2001,BLUE,1
ABBSTEEL,TRAILER,2001,GREY,1
ABBSTEEL,TRAILER,2002,BLUE,3
ABBSTEEL,TRAILER,2002,SILVER,3
ABBSTEEL,TRAILER,2004,BLUE,1
ABBSTEEL,TRAILER,2004,GREY,1
ABBSTEEL,TRAILER,2005,BLUE,2
ABBSTEEL,TRAILER,2005,SILVER,2
ABBSTEEL,TRAILER,2005,WHITE,1
ABBSTEEL,TRAILER,2006,SILVER,1
ABBSTEEL,TRAILER,2007,GREY,1
ABBSTEEL,TRAILER,2007,SILVER,1
ABBSTEEL,TRAILER,2007,WHITE,1
ABBSTEEL,TRAILER,2009,SILVER,1
ABBSTEEL,TRAILER,2010,BLUE,1
ABBSTEEL,TRAILER,2011,BLUE,1
ABBSTEEL,TRAILER,2012,GREY,1
ABBSTEEL,TRAILER,2012,SILVER,2
ABBSTEEL,TRAILER,2014,SILVER,1
ABBSTEEL,TRAILER,2015,SILVER,1
ABBSTEEL,TRAILER,2017,SILVER,1
ACE FABRICATION,BOAT TRAILER,2020,SILVER,2
ACE FABRICATION,EARTH MOVING VEHICLE,2018,YELLOW,1
ACE FABRICATION,TIPPER TRAILER,2019,SILVER,1
ACE FABRICATION,TIPPER TRAILER,2020,SILVER,1
ACE FABRICATION,TRAILER,2016,BLUE,1
ACE FABRICATION,TRAILER,2017,BLUE,1
ACE FABRICATION,TRAILER,2018,GREY,1
ACE FABRICATION,TRAILER,2018,SILVER,5
ACE FABRICATION,TRAILER,2019,GREY,1
ACE FABRICATION,TRAILER,2019,SILVER,4
ACE FABRICATION,TRAILER,2020,SILVER,1
ACE FABRICATION,TRANSPORTER TRAILER,2018,GREY,1
